Identificador do processo de viagem,Distancia_Notebook,Emissoes_Notebook,Distancia_Baseline,Emissoes_Baseline,Distancia_Itinerario,Diferenca_Distancia,Diferenca_Emissoes,Abs_Dif_Distancia,Perc_Dif_Emissoes,Dif_Dist_Notebook_vs_Itinerario
000000000000019261039,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019261081,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019262550,971.8892,177.7287,973.4693,265.3451,,-1.5802,-87.6164,1.5802,0.3302,
000000000000019262936,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019265849,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019268869,796.967,145.7408,791.1972,215.662,,5.7698,-69.9212,5.7698,0.3242,
000000000000019269173,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019269792,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019270158,5102.7877,1021.1097,5083.2953,929.5789,,19.4924,91.5308,19.4924,0.0985,
000000000000019274544,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019274735,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019275186,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019275566,3348.3753,612.3152,3357.0964,613.9101,,-8.7211,-1.5949,8.7211,0.0026,
000000000000019276393,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019277297,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019277981,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019278767,3925.4849,785.5218,3918.1773,716.5145,,7.3076,69.0073,7.3076,0.0963,
000000000000019280102,13341.1526,2669.6742,13338.2055,2669.0854,,2.9471,0.5888,2.9471,0.0002,
000000000000019280831,796.967,145.7408,791.1972,215.662,,5.7698,-69.9212,5.7698,0.3242,
000000000000019281212,13341.1526,2669.6742,13338.2055,2669.0854,,2.9471,0.5888,2.9471,0.0002,
000000000000019281441,13341.1526,2669.6742,13338.2055,2669.0854,,2.9471,0.5888,2.9471,0.0002,
000000000000019281615,13341.1526,2669.6742,13338.2055,2669.0854,,2.9471,0.5888,2.9471,0.0002,
000000000000019281740,13341.1526,2669.6742,13338.2055,2669.0854,,2.9471,0.5888,2.9471,0.0002,
000000000000019282859,13341.1526,2669.6742,13338.2055,2669.0854,,2.9471,0.5888,2.9471,0.0002,
000000000000019283813,3925.4849,785.5218,3918.1773,716.5145,,7.3076,69.0073,7.3076,0.0963,
000000000000019283835,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019283968,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019284018,3925.4849,785.5218,3918.1773,716.5145,,7.3076,69.0073,7.3076,0.0963,
000000000000019285122,1522.9251,278.4963,1482.2388,271.0561,,40.6863,7.4402,40.6863,0.0274,
000000000000019285853,4372.2856,874.9303,4387.73,802.3814,,-15.4444,72.5489,15.4444,0.0904,
000000000000019286033,3265.101,597.0869,3262.9123,596.6867,,2.1888,0.4002,2.1888,0.0007,
000000000000019286475,3315.1196,606.2338,3342.0276,611.1544,,-26.9079,-4.9206,26.9079,0.0081,
000000000000019287574,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019287629,796.967,145.7408,791.1972,215.662,,5.7698,-69.9212,5.7698,0.3242,
000000000000019288360,5809.7361,1162.5759,5809.1741,1062.3199,,0.562,100.256,0.562,0.0944,
000000000000019290952,796.967,145.7408,791.1972,215.662,,5.7698,-69.9212,5.7698,0.3242,
000000000000019290976,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019291123,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019291959,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019292173,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019293715,5190.5036,1038.6624,5159.6698,943.5455,,30.8338,95.1169,30.8338,0.1008,
000000000000019293802,3034.3293,554.8858,3030.0198,554.0978,,4.3095,0.788,4.3095,0.0014,
000000000000019295088,3265.101,597.0869,3262.9123,596.6867,,2.1888,0.4002,2.1888,0.0007,
000000000000019295355,3453.3416,631.5104,3429.6731,627.1821,,23.6686,4.3283,23.6686,0.0069,
000000000000019296208,6133.166,1227.2969,6109.5911,1117.257,,23.575,110.0399,23.575,0.0985,
000000000000019297861,3308.0198,604.9354,3308.4229,605.0092,,-0.4031,-0.0738,0.4031,0.0001,
000000000000019298105,6133.166,1227.2969,6109.5911,1117.257,,23.575,110.0399,23.575,0.0985,
000000000000019299833,3265.101,597.0869,3262.9123,596.6867,,2.1888,0.4002,2.1888,0.0007,
000000000000019300170,3348.3753,612.3152,3357.0964,613.9101,,-8.7211,-1.5949,8.7211,0.0026,
000000000000019300853,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019301303,5182.9207,1037.145,5177.7979,946.8606,,5.1228,90.2844,5.1228,0.0954,
000000000000019304242,5997.6506,1200.1792,5965.5834,1090.9224,,32.0672,109.2568,32.0672,0.1002,
000000000000019304357,1522.9251,278.4963,1482.2388,271.0561,,40.6863,7.4402,40.6863,0.0274,
000000000000019304384,1629.4432,297.9752,1635.8113,299.1398,,-6.3681,-1.1646,6.3681,0.0039,
000000000000019304742,1522.9251,278.4963,1482.2388,271.0561,,40.6863,7.4402,40.6863,0.0274,
000000000000019305842,2473.9529,452.4102,2454.5394,448.86,,19.4135,3.5502,19.4135,0.0079,
000000000000019309933,4372.2856,874.9303,4387.73,802.3814,,-15.4444,72.5489,15.4444,0.0904,
000000000000019310853,5182.9207,1037.145,5177.7979,946.8606,,5.1228,90.2844,5.1228,0.0954,
000000000000019311024,3265.101,597.0869,3262.9123,596.6867,,2.1888,0.4002,2.1888,0.0007,
000000000000019311228,6136.2672,1227.9175,6131.9119,1121.3388,,4.3553,106.5787,4.3553,0.095,
000000000000019312461,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019312470,3453.3416,631.5104,3429.6731,627.1821,,23.6686,4.3283,23.6686,0.0069,
000000000000019312513,3937.5472,787.9355,3923.0016,717.3968,,14.5456,70.5387,14.5456,0.0983,
000000000000019313222,5809.7361,1162.5759,5809.1741,1062.3199,,0.562,100.256,0.562,0.0944,
000000000000019313347,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019313568,5388.084,1078.1999,5391.1647,985.8788,,-3.0806,92.3211,3.0806,0.0936,
000000000000019314122,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019314332,5809.7361,1162.5759,5809.1741,1062.3199,,0.562,100.256,0.562,0.0944,
000000000000019314417,5809.7361,1162.5759,5809.1741,1062.3199,,0.562,100.256,0.562,0.0944,
000000000000019314758,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
000000000000019315632,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019315974,796.967,145.7408,791.1972,215.662,,5.7698,-69.9212,5.7698,0.3242,
000000000000019316173,4432.3958,886.9588,4379.9485,800.9584,,52.4473,86.0004,52.4473,0.1074,
000000000000019316258,1809.3403,330.8729,1802.4813,329.6186,,6.859,1.2543,6.859,0.0038,
000000000000019316531,3161.8634,578.2079,3136.7789,573.6207,,25.0846,4.5872,25.0846,0.008,
000000000000019316534,4181.5518,836.7629,4159.2084,760.5918,,22.3433,76.1711,22.3433,0.1001,
000000000000019317291,3424.9806,626.324,3426.84,626.664,,-1.8593,-0.34,1.8593,0.0005,
